group_scope,group_value,metric,count,min,max,mean,median,std,p10,p25,p50,p75,p90,p95,p99
by_calibration_type,calibration_type=highly_metaphorical_text,EMI_raw,19,0.0,0.017544,0.001417578947368421,0.0,0.004339433413365214,0.0,0.0,0.0,0.0,0.0018779999999999934,0.010205399999999983,0.016076280000000002
by_calibration_type,calibration_type=highly_metaphorical_text,MTI_raw,19,0.0,0.025316,0.001332421052631579,0.0,0.005652983770269045,0.0,0.0,0.0,0.0,0.0,0.0025315999999999464,0.02075912000000001
by_calibration_type,calibration_type=highly_metaphorical_text,EVI_raw,19,-4.0,4.0,0.05263157894736842,0.0,1.5034586165353367,-1.0,0.0,0.0,0.0,0.5999999999999979,3.099999999999998,3.8200000000000003
by_calibration_type,calibration_type=highly_metaphorical_text,EVI_norm,19,-0.4,0.4,0.005263157894736839,0.0,0.1503458616535337,-0.1,0.0,0.0,0.0,0.05999999999999978,0.3099999999999998,0.38200000000000006
by_calibration_type,calibration_type=highly_metaphorical_text,IP_context,19,-0.4,0.4101264,0.00594438947368421,0.0,0.1520440413875771,-0.1,0.0,0.0,0.0,0.06056339999999979,0.31354793999999975,0.39081070800000006
by_calibration_type,calibration_type=highly_metaphorical_text,IP_abs_context,19,0.0,0.4101264,0.06910228421052632,0.0,0.1355640092523445,0.0,0.0,0.0,0.05,0.3222535999999999,0.40101264,0.408303648
by_calibration_type,calibration_type=ideological_mobilization,IDI_raw,26,0.0,0.018868,0.0035404615384615383,0.0,0.006667326809672844,0.0,0.0,0.0,0.0,0.015629,0.01811925,0.018868
by_calibration_type,calibration_type=ideological_mobilization,EMI_raw,26,0.0,0.044444,0.005621192307692308,0.0,0.010405793002048393,0.0,0.0,0.0,0.005667999999999999,0.014731000000000001,0.0254605,0.04047575
by_calibration_type,calibration_type=ideological_mobilization,MTI_raw,26,0.0,0.078947,0.009365807692307694,0.0,0.017175705973664867,0.0,0.0,0.0,0.01529025,0.0222665,0.035814,0.06921025
by_calibration_type,calibration_type=ideological_mobilization,EVI_raw,26,-5.0,3.0,-0.3076923076923077,0.0,2.1080291701607266,-3.0,-1.0,0.0,1.0,2.5,3.0,3.0
by_calibration_type,calibration_type=ideological_mobilization,EVI_norm,26,-0.5,0.3,-0.030769230769230767,0.0,0.21080291701607262,-0.3,-0.1,0.0,0.1,0.25,0.3,0.3
by_calibration_type,calibration_type=ideological_mobilization,IP_context,26,-0.5157235,0.3159999,-0.03189971923076922,0.0,0.2167502347652513,-0.31095224999999993,-0.10250005000000001,0.0,0.1,0.2545765,0.304216575,0.3131718
by_calibration_type,calibration_type=ideological_mobilization,IP_abs_context,26,0.0,0.5157235,0.14991748076923078,0.10102565000000001,0.15975921043120106,0.0,0.0,0.10102565000000001,0.304216575,0.31466655,0.4657926,0.5157235
by_calibration_type,calibration_type=neutral_news,IDI_raw,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by_calibration_type,calibration_type=neutral_news,EMI_raw,34,0.0,0.004566,0.00013429411764705881,0.0,0.0007714609718850776,0.0,0.0,0.0,0.0,0.0,0.0,0.0030592200000000075
by_calibration_type,calibration_type=neutral_news,MTI_raw,34,0.0,0.045455,0.0070115,0.0,0.011999444085775269,0.0,0.0,0.0,0.01497275,0.023533799999999997,0.02894744999999998,0.04203389000000002
by_calibration_type,calibration_type=neutral_news,EVI_raw,34,0.0,3.0,0.14705882352941177,0.0,0.549457108596159,0.0,0.0,0.0,0.0,0.0,1.0,2.3400000000000034
by_calibration_type,calibration_type=neutral_news,EVI_norm,34,0.0,0.3,0.014705882352941176,0.0,0.054945710859615894,0.0,0.0,0.0,0.0,0.0,0.1,0.23400000000000032
by_calibration_type,calibration_type=neutral_news,IP_context,34,0.0,0.30722879999999997,0.015021694117647059,0.0,0.0562116439751689,0.0,0.0,0.0,0.0,0.0,0.10122808,0.24000120000000033
